NARRATIVE,target,split
fall|of|roof|occur|at|the|tailgate|of|3t|longwalk|in|ac|of|25|at|89|20.|use|8'-rib-|bolt|for|truss|and|combination|double|fork|in|center|and|row|of|6x6|timber|between|cross-cuts|slip|run|through|area|lose|power|on|face|could|not|pull|shield|and|lose|the|roof,B-accident_cause/fall|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
individual|and|other|employee|be|attempt|to|jump|start|truck|he|begin|to|walk|along|the|frame|to|check|the|connection|when|he|stop|on|the|battery|cover|that|be|lay|on|the|fender|it|be|too|dark|to|see|where|he|be|step|he|fell-to-|the|ground|approximately|ft|and|hurt|his|rib|lay|on|the|ground,B-person/individual|O|O|B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-accident_cause/stepping|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
it|be|the|belief|of|the|investigation|team|that-the-|victim|be|stand|approximately|from|pump|at|it|on/off|switch|upon|de-energizing|the|pump-|condition|within|the|pump|cause|it|to|explode|propel|the|impeller|cover|plate|strike|the-victim-|on|the|torso|and|pelvis,O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-equipment/mechanical_equipment/pump|O|O|O|O|O|O|O|O|O|O|O|B-equipment/mechanical_equipment/pump|O|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/body/torso|O|O,train
lower|red|devil|rope|come-along|lever|slip|and|caught|thumb|between|lever|and|latch|mechanism,O|O|O|O|O|O|O|O|O|B-body_part/arm/hand/thumb|O|O|O|O|O,train
roof|fall|in|number|belt|main|near|spad|number|1940|measure|50|long|by|18|wide|by|4.5|wide,O|B-accident_cause/fall|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
17'-wide-|20'-long-|10'-high-|support|6'3/4|''|resin|bolt|wire|screen|12'-cable-|bolt|south-west-|number|head|number|block|spad|6836.|fall|dangered|off|additional|roof|support|instal|around|fall,O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-accident_cause/fall|O|O|O|O|O|O|O|B-accident_cause/fall,train
employee|be|instal|liner|in|head|box|of|conveyor|employee|lift|liner|around|waist|high|and|felt|strain|in|his|back|the|liner|weigh|approximately|75|lb,B-person/employee|O|O|O|O|B-body_part/head|O|O|B-equipment/mechanical_equipment/conveyor|B-person/employee|O|O|O|O|O|O|O|B-injury/muscle/strain|O|O|B-body_part/back|O|O|O|O|O|O,train
employee|open|heavy|equipment|compartment|door|felt|pop|sensation|and|pain|in|right|shoulder|first|aid|until|11/20/2012|confirmation|of|positive|mri|for|minor|shoulder|tear,B-person/employee|O|O|B-equipment|O|O|O|O|O|O|O|O|B-body_part/arm/shoulder/right_shoulder|I-body_part/arm/shoulder/right_shoulder|O|O|O|O|O|O|O|O|O|B-severity/minor|B-body_part/arm/shoulder|O,train
replace|belt|structure|rail|at|box|cut-on-|number|slate|belt|while|lift|structure|have|pain-in-|low|back,O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/back/lower_back|I-body_part/back/lower_back,train
roof|fall|be|discover|while|walk|the|return|air|course|with|inspector|the|fall|measure|33|17|1/2|thick|it|fell|in|number|entry|at|cross-cut|27|in|the|west|return|the|roof|be|weaken|by|drip|water|it|do|not|block|people|equipment|or|air,O|B-accident_cause/fall|O|O|O|B-activity/walking|O|O|O|O|O|O|O|B-accident_cause/fall|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-equipment|O|O,train
"an|unintentional|fall|of|the|roof|occur|at|the|cross|cut|number|95|in|the|number|entry|at|spad|659.|this|fall|be|11,000|ft|from|the|work|section|this|fall|will|be|clean|up|and|support|pending|the|approval|of|the|clean|up|plan|submit",O|O|B-accident_cause/fall|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-accident_cause/fall|O|O|O|O|O|O|O|O|B-accident_cause/fall|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
injured|party|be|walk|on|belt|when|he|slip|and|fell|backwards|strike|his|left|shoulder|do|not|miss|any|work|until|1/24/07|this|accident|happen|on|10/23/06|the|doctor|do|not|do|anything|to|him|and|he|do|not|miss|any|work|miss|his|1st|day|of|work|on|1/24/07,O|O|O|B-activity/walking|O|O|O|O|O|O|O|O|O|O|B-body_part/arm/shoulder/left_shoulder|I-body_part/arm/shoulder/left_shoulder|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
reseal|240|volt|battery|when|an|arc|from|the|battery|strap|ground|to|the|frame|burning|both|hand|wear|personal-protective-equipment-|individual|be|train|on|job|task,O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-person/individual|O|O|O|O|O,train
employee|be|rebricking|the|kiln|and|slip|while|instal|brick|the|brick|pinch|the|employee's|right|middle|finger|cause|it|to|fracture|at|the|finger|tip,B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-injury/fracture|O|O|O|O,train
the|employee|be|use|two-handed|sledgehammer|to|move|material|in|feeder|by|strike|the|side|of|the|feeder|a|the|employee|swung|the|sledgehammer|over|his|head|he|felt|``|pop|''|in|his|left|shoulder|and|release|the|sledgehammer|which|then|struck|the|same|shoulder|left|the|employee|have|schedule|an|mri|to|determine|the|extent|of|the|damage|an|x-ray|reveal|no|damage,O|B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-person/employee|O|O|O|O|O|B-body_part/head|O|O|O|O|O|O|O|B-body_part/arm/shoulder/left_shoulder|I-body_part/arm/shoulder/left_shoulder|O|O|O|O|O|O|O|O|O|B-body_part/arm/shoulder|O|O|B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
employee|be|remove|piece|of|deck|a|he|attempt|to|pry|the|deck|loose|from|inch|water-pipe-|piece|of|expand|metal|fell|and|struck|the|employee|on|shoulder|and|neck,B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-person/employee|O|O|O|B-body_part/neck,train
beltrami|be|tighten|spring|break|on|number|85|tractor|with|wrench|and|pull|his|right|shoulder,O|O|O|O|B-injury/fracture/break|O|O|O|O|O|O|O|O|O|B-body_part/arm/shoulder/right_shoulder|I-body_part/arm/shoulder/right_shoulder,train
employee|be|cut|roofbolt|when|the|bolt|be|cut|into|the|pressure|on|it|cause|it|to|swing|around|and|strike|the|employee|on|the|right|index|finger|employee|be|give|metal|splint|to|protect|from|far|injury|x-ray|be|negative,B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-person/employee|O|O|O|O|O|B-person/employee|O|O|O|O|O|O|O|O|B-injury|O|O|O,train
employee|report|back|pain|after|operating|loader|no|specific|incident|know,B-person/employee|O|B-body_part/back|O|O|O|O|O|O|O|O,train
employee|be|drive|lube|truck|and|struck|pot|hole|cause|her|to|bounce|and|hit|her|rib|on|the|side|of|the|truck,B-person/employee|O|B-activity/driving|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
utility|knife|slip|while|cut|conveyor|belt|and|struck|employee|in|the|leg|just|above|the|right|knee,O|O|O|O|O|B-equipment/mechanical_equipment/conveyor|O|O|O|B-person/employee|O|O|B-body_part/leg|O|O|O|B-body_part/leg/knee/right_knee|I-body_part/leg/knee/right_knee,train
while|attempt|to|loosen|an|oil|filter|under|993|loader|employee|strain|his|neck|employee|go|to|the|doctor|on|2/20/2015|and|the|doctor|put|him|on|restrict|duty|note|employee|go|to|doctor|on|3/13/15|and|the|doctor|take|him|off|work|begin|3/13/15,O|O|O|O|O|O|B-equipment/filter|O|O|O|B-person/employee|O|O|B-body_part/neck|B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
